Sensor_id,Value,DateTimeFrom,DateTimeTo
14899,27.9,2020-07-01,2020-08-01
14899,30.1,2020-08-01,2020-09-01
14899,33.0,2020-09-01,2020-10-01
14899,63.3,2020-10-01,2020-11-01
14899,85.3,2020-11-01,2020-12-01
14899,134.0,2020-12-01,2021-01-01
14907,54.5,2020-01-01,2020-02-01
14907,37.8,2020-02-01,2020-03-01
14907,22.8,2020-03-01,2020-04-01
14907,13.2,2020-04-01,2020-05-01
14907,18.0,2020-05-01,2020-06-01
14907,16.4,2020-06-01,2020-07-01
14907,10.8,2020-07-01,2020-08-01
14907,11.2,2020-08-01,2020-09-01
14907,14.6,2020-09-01,2020-10-01
14907,29.4,2020-10-01,2020-11-01
14907,42.5,2020-11-01,2020-12-01
14907,73.3,2020-12-01,2021-01-01
14925,14.7,2020-01-01,2020-02-01
14925,18.2,2020-02-01,2020-03-01
14925,13.0,2020-03-01,2020-04-01
14925,7.46,2020-04-01,2020-05-01
14925,7.53,2020-05-01,2020-06-01
14925,6.5,2020-06-01,2020-07-01
14925,3.64,2020-07-01,2020-08-01
14925,5.21,2020-08-01,2020-09-01
14925,6.77,2020-09-01,2020-10-01
14925,9.69,2020-10-01,2020-11-01
14925,13.3,2020-11-01,2020-12-01
14925,16.0,2020-12-01,2021-01-01
15064,352.0,2020-01-01,2020-02-01
15064,584.0,2020-02-01,2020-03-01
15064,480.0,2020-03-01,2020-04-01
15064,444.0,2020-04-01,2020-05-01
15064,459.0,2020-05-01,2020-06-01
15064,455.0,2020-06-01,2020-07-01
15064,610.0,2020-07-01,2020-08-01
15064,645.0,2020-08-01,2020-09-01
15064,665.0,2020-09-01,2020-10-01
15064,882.0,2020-10-01,2020-11-01
15064,808.0,2020-11-01,2020-12-01
15064,810.0,2020-12-01,2021-01-01
15120,28.6,2020-01-01,2020-02-01
15120,34.1,2020-02-01,2020-03-01
15120,17.2,2020-03-01,2020-04-01
15120,6.88,2020-04-01,2020-05-01
15120,8.55,2020-05-01,2020-06-01
15120,7.66,2020-06-01,2020-07-01
15120,5.68,2020-07-01,2020-08-01
15120,7.06,2020-08-01,2020-09-01
15120,13.9,2020-09-01,2020-10-01
15120,22.7,2020-10-01,2020-11-01
15120,21.8,2020-11-01,2020-12-01
15120,27.8,2020-12-01,2021-01-01
15199,54.0,2020-01-01,2020-02-01
15199,56.1,2020-02-01,2020-03-01
15199,50.1,2020-03-01,2020-04-01
15199,31.3,2020-04-01,2020-05-01
15199,48.5,2020-05-01,2020-06-01
15199,35.9,2020-06-01,2020-07-01
15199,25.1,2020-07-01,2020-08-01
15199,33.1,2020-08-01,2020-09-01
15199,28.5,2020-09-01,2020-10-01
15199,53.5,2020-10-01,2020-11-01
15199,46.8,2020-11-01,2020-12-01
15199,63.8,2020-12-01,2021-01-01
15251,31.1,2020-01-01,2020-02-01
15251,31.7,2020-02-01,2020-03-01
15251,26.1,2020-03-01,2020-04-01
15251,17.7,2020-04-01,2020-05-01
15251,20.0,2020-05-01,2020-06-01
15251,13.5,2020-06-01,2020-07-01
15251,11.9,2020-07-01,2020-08-01
15251,15.5,2020-08-01,2020-09-01
15251,15.9,2020-09-01,2020-10-01
15251,32.5,2020-10-01,2020-11-01
15251,30.0,2020-11-01,2020-12-01
15251,45.4,2020-12-01,2021-01-01
15223,14.6,2020-01-01,2020-02-01
15223,13.2,2020-02-01,2020-03-01
15223,15.1,2020-03-01,2020-04-01
15223,12.7,2020-04-01,2020-05-01
15223,8.07,2020-05-01,2020-06-01
15223,15.4,2020-06-01,2020-07-01
15223,11.7,2020-07-01,2020-08-01
15223,11.7,2020-08-01,2020-09-01
15223,5.84,2020-09-01,2020-10-01
15223,16.6,2020-10-01,2020-11-01
15223,17.3,2020-11-01,2020-12-01
15223,17.2,2020-12-01,2021-01-01
36548,1520.0,2020-01-01,2020-02-01
36548,1110.0,2020-02-01,2020-03-01
36548,604.0,2020-03-01,2020-04-01
36548,494.0,2020-04-01,2020-05-01
36548,426.0,2020-05-01,2020-06-01
36548,467.0,2020-06-01,2020-07-01
36548,385.0,2020-07-01,2020-08-01
36548,443.0,2020-08-01,2020-09-01
36548,591.0,2020-09-01,2020-10-01
36548,736.0,2020-10-01,2020-11-01
36548,1110.0,2020-11-01,2020-12-01
36548,1820.0,2020-12-01,2021-01-01
36550,13.4,2020-01-01,2020-02-01
36550,20.6,2020-02-01,2020-03-01
36550,23.8,2020-03-01,2020-04-01
36550,9.57,2020-04-01,2020-05-01
36550,10.2,2020-05-01,2020-06-01
36550,7.85,2020-06-01,2020-07-01
36550,6.48,2020-07-01,2020-08-01
36550,9.65,2020-08-01,2020-09-01
36550,13.0,2020-09-01,2020-10-01
36550,19.6,2020-10-01,2020-11-01
36550,23.6,2020-11-01,2020-12-01
36550,17.4,2020-12-01,2021-01-01
36575,217.0,2020-01-01,2020-02-01
36575,201.0,2020-02-01,2020-03-01
36575,165.0,2020-03-01,2020-04-01
36575,95.2,2020-04-01,2020-05-01
36575,38.6,2020-05-01,2020-06-01
36575,35.9,2020-06-01,2020-07-01
36575,25.7,2020-07-01,2020-08-01
36575,37.5,2020-08-01,2020-09-01
36575,43.8,2020-09-01,2020-10-01
36575,72.2,2020-10-01,2020-11-01
36575,148.0,2020-11-01,2020-12-01
36575,260.0,2020-12-01,2021-01-01
