Sensor_id,Value,DateTimeFrom,DateTimeTo
712.0,43.4,2020-01-09,2020-01-10
712.0,46.0,2020-01-10,2020-01-11
712.0,62.6,2020-01-11,2020-01-12
712.0,58.6,2020-01-12,2020-01-13
712.0,65.0,2020-01-13,2020-01-14
712.0,67.2,2020-01-14,2020-01-15
712.0,52.4,2020-01-15,2020-01-16
712.0,53.2,2020-01-16,2020-01-17
712.0,50.5,2020-01-17,2020-01-18
712.0,54.6,2020-01-18,2020-01-19
712.0,46.9,2020-01-19,2020-01-20
712.0,51.2,2020-01-20,2020-01-21
712.0,55.3,2020-01-21,2020-01-22
712.0,52.4,2020-01-22,2020-01-23
712.0,54.7,2020-01-23,2020-01-24
712.0,58.8,2020-01-24,2020-01-25
712.0,59.7,2020-01-25,2020-01-26
712.0,58.5,2020-01-26,2020-01-27
712.0,56.6,2020-01-27,2020-01-28
712.0,39.7,2020-01-28,2020-01-29
712.0,43.1,2020-01-29,2020-01-30
712.0,52.0,2020-01-30,2020-01-31
712.0,59.5,2020-01-31,2020-02-01
712.0,48.3,2020-02-01,2020-02-02
712.0,42.5,2020-02-02,2020-02-03
712.0,44.4,2020-02-03,2020-02-04
712.0,44.4,2020-02-04,2020-02-05
712.0,41.3,2020-02-05,2020-02-06
712.0,448.0,2020-02-06,2020-02-07
712.0,62.7,2020-02-07,2020-02-08
712.0,485.0,2020-02-08,2020-02-09
712.0,356.0,2020-02-09,2020-02-10
712.0,220.0,2020-02-10,2020-02-11
712.0,377.0,2020-02-11,2020-02-12
712.0,412.0,2020-02-12,2020-02-13
712.0,60.2,2020-02-13,2020-02-14
712.0,61.7,2020-02-14,2020-02-15
712.0,62.6,2020-02-15,2020-02-16
712.0,76.6,2020-02-17,2020-02-18
712.0,68.9,2020-02-18,2020-02-19
712.0,83.8,2020-02-19,2020-02-20
712.0,49.1,2020-02-29,2020-03-01
712.0,46.7,2020-03-01,2020-03-02
712.0,42.1,2020-03-02,2020-03-03
712.0,38.4,2020-03-03,2020-03-04
712.0,35.5,2020-03-04,2020-03-05
712.0,45.2,2020-03-05,2020-03-06
712.0,29.5,2020-03-06,2020-03-07
712.0,35.8,2020-03-07,2020-03-08
712.0,32.6,2020-03-08,2020-03-09
712.0,42.6,2020-03-09,2020-03-10
712.0,34.0,2020-03-10,2020-03-11
712.0,37.7,2020-03-11,2020-03-12
712.0,42.8,2020-03-12,2020-03-13
712.0,37.9,2020-03-13,2020-03-14
